Date,Time,Facility,Error
15-JUN-22,07:23:20,MOTN-200,"(S012SD01, 378) Too long anticipate time"
15-JUN-22,07:23:18,MOTN-200,"(S012SD01, 359) Too long anticipate time"
15-JUN-22,07:23:16,MOTN-200,"(S012SD01, 345) Too long anticipate time"
15-JUN-22,07:23:16,MOTN-200,"(S012SD01, 336) Too long anticipate time"
15-JUN-22,07:23:16,MOTN-200,"(S012SD01, 329) Too long anticipate time"
15-JUN-22,07:23:10,MOTN-200,"(S012SD01, 283) Too long anticipate time"
15-JUN-22,07:23:02,MOTN-200,"(S012SD01, 252) Too long anticipate time"
15-JUN-22,07:23:02,MOTN-200,"(S012SD01, 244) Too long anticipate time"
15-JUN-22,07:22:58,MOTN-200,"(S012SD01, 208) Too long anticipate time"
15-JUN-22,07:22:50,MOTN-200,"(S012SD01, 185) Too long anticipate time"
15-JUN-22,07:22:48,MOTN-200,"(S012SD01, 156) Too long anticipate time"
15-JUN-22,07:22:42,MOTN-200,"(S012SD01, 117) Too long anticipate time"
15-JUN-22,07:22:36,MOTN-200,"(S012SD01, 76) Too long anticipate time"
15-JUN-22,07:22:36,MOTN-200,"(S012SD01, 75) Too long anticipate time"
15-JUN-22,07:22:34,MOTN-056,Speed limits used (G:1)
15-JUN-22,07:22:34,MOTN-056,Speed limits used (G:1)
15-JUN-22,07:22:06,SYST-014,Program select failed
15-JUN-22,07:20:06,SYST-034,HOLD signal from SOP/UOP is lost
15-JUN-22,07:13:00,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:13:00,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:12:58,SRVO-171,MotorSpd lim/DVC(G:1 A:3)
15-JUN-22,07:12:56,SEAL-349,Proc logger process_id not found (E2)
15-JUN-22,07:12:54,SEAL-270,Flow command above maximum (E2)
15-JUN-22,07:12:46,MOTN-200,"(S012SD01, 420) Too long anticipate time"
15-JUN-22,07:12:38,MOTN-200,"(S012SD01, 378) Too long anticipate time"
15-JUN-22,07:12:36,MOTN-200,"(S012SD01, 359) Too long anticipate time"
15-JUN-22,07:12:34,MOTN-200,"(S012SD01, 345) Too long anticipate time"
15-JUN-22,07:12:32,MOTN-200,"(S012SD01, 336) Too long anticipate time"
15-JUN-22,07:12:32,MOTN-200,"(S012SD01, 329) Too long anticipate time"
15-JUN-22,07:12:28,MOTN-200,"(S012SD01, 283) Too long anticipate time"
15-JUN-22,07:12:20,MOTN-200,"(S012SD01, 252) Too long anticipate time"
15-JUN-22,07:12:20,MOTN-200,"(S012SD01, 244) Too long anticipate time"
15-JUN-22,07:12:14,MOTN-200,"(S012SD01, 208) Too long anticipate time"
15-JUN-22,07:12:08,MOTN-200,"(S012SD01, 185) Too long anticipate time"
15-JUN-22,07:12:04,MOTN-200,"(S012SD01, 156) Too long anticipate time"
21-JUN-22,14:42:20,SYST-014,Program select failed
21-JUN-22,14:41:32,SYST-014,Program select failed
21-JUN-22,12:41:58,SYST-014,Program select failed
21-JUN-22,12:41:10,SYST-014,Program select failed
21-JUN-22,10:41:36,SYST-014,Program select failed
21-JUN-22,10:40:48,SYST-014,Program select failed
21-JUN-22,10:35:20,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,10:24:30,SYST-014,Program select failed
21-JUN-22,10:24:30,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,10:24:22,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,10:24:22,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,10:24:18,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,10:24:18,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,10:22:44,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,10:22:42,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,10:21:06,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,10:21:06,SRVO-199,Controlled Stop
21-JUN-22,10:21:06,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,10:14:10,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,10:14:08,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,10:13:56,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,10:13:56,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,10:00:40,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,10:00:40,SRVO-199,Controlled Stop
21-JUN-22,10:00:40,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,09:54:34,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,09:54:34,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,09:43:36,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,09:43:36,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,09:43:36,SRVO-199,Controlled Stop
21-JUN-22,09:39:18,SYST-034,HOLD signal from SOP/UOP is lost
21-JUN-22,09:39:18,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,09:33:36,PRIO-063,Bad I/O asg: rack 89 slot 1
21-JUN-22,09:33:36,SRVO-407,"DCS SSO Fence Open 1,1"
21-JUN-22,08:52:26,SRVO-407,"DCS SSO Fence Open 1,1"
